dttm,fc_name,hr,num_units,num_containers,num_lineitems,dt,ob_planned_hours_dayshift,ob_actual_hours_dayshift,ob_planned_hours_nightshift,ob_actual_hours_nightshift,ob_planned_tph_dayshift,ob_actual_tph_dayshift,ob_planned_tph_nightshift,ob_actual_tph_nightshift,ob_planned_units_dayshift,ob_actual_units_dayshift,ob_planned_units_nightshift,ob_actual_units_nightshift,ob_planned_labor_share_dayshift,ob_planned_labor_share_nightshift,ob_planned_mot_dayshift,ob_planned_mot_nightshift,ob_planned_ot_dayshift,ob_planned_ot_nightshift,ob_planned_vto_dayshift,ob_planned_vto_nightshift,weekday,fc_type,day_shift_start,night_shift_start,day_shift_flag_fc,day_shift_flag_hr,night_shift_flag_hr,planned_units_shift,planned_hours_shift,planned_tph_shift,planned_laborshare_shift,planned_mot_shift,planned_ot_shift,planned_vto_shift,shift_start,shift_start_prev_hr,shift_start_foll_hr,planned_units_shift_mean,planned_hours_shift_mean,ds,diff_units,y,fc_code,fc_type_code,pred_shipped_units
2025-11-30 06:00:00,AVP1,6,0.0,0.0,0.0,2025-11-30,2340.97,2540.33,2284.28,2495.31,37.86,34.35,37.65,38.55,88629.1,87273.0,86003.08,96196.0,-130.0,-130.0,699.0,512.0,0.0,0.0,0.0,0.0,6,1G,6,18,0,1,0,88629.1,2340.97,37.86,-130.0,699.0,0.0,0.0,1,0,0,8862.91,234.097,2025-11-30 06:00:00,-5626.0,0.0,0,0,1078.3687
2025-11-30 07:00:00,AVP1,7,4375.0,1933.0,2062.0,2025-11-30,2340.97,2540.33,2284.28,2495.31,37.86,34.35,37.65,38.55,88629.1,87273.0,86003.08,96196.0,-130.0,-130.0,699.0,512.0,0.0,0.0,0.0,0.0,6,1G,6,18,0,1,0,88629.1,2340.97,37.86,-130.0,699.0,0.0,0.0,0,0,1,8862.91,234.097,2025-11-30 07:00:00,4375.0,4375.0,0,0,3552.6174
2025-11-30 08:00:00,AVP1,8,9568.0,3163.0,4335.0,2025-11-30,2340.97,2540.33,2284.28,2495.31,37.86,34.35,37.65,38.55,88629.1,87273.0,86003.08,96196.0,-130.0,-130.0,699.0,512.0,0.0,0.0,0.0,0.0,6,1G,6,18,0,1,0,88629.1,2340.97,37.86,-130.0,699.0,0.0,0.0,0,0,0,8862.91,234.097,2025-11-30 08:00:00,5193.0,9568.0,0,0,9469.411
2025-11-30 09:00:00,AVP1,9,9206.0,3224.0,4050.0,2025-11-30,2340.97,2540.33,2284.28,2495.31,37.86,34.35,37.65,38.55,88629.1,87273.0,86003.08,96196.0,-130.0,-130.0,699.0,512.0,0.0,0.0,0.0,0.0,6,1G,6,18,0,1,0,88629.1,2340.97,37.86,-130.0,699.0,0.0,0.0,0,0,0,8862.91,234.097,2025-11-30 09:00:00,-362.0,9206.0,0,0,10088.99
2025-11-30 10:00:00,AVP1,10,10734.0,3337.0,4570.0,2025-11-30,2340.97,2540.33,2284.28,2495.31,37.86,34.35,37.65,38.55,88629.1,87273.0,86003.08,96196.0,-130.0,-130.0,699.0,512.0,0.0,0.0,0.0,0.0,6,1G,6,18,0,1,0,88629.1,2340.97,37.86,-130.0,699.0,0.0,0.0,0,0,0,8862.91,234.097,2025-11-30 10:00:00,1528.0,10734.0,0,0,6670.8296
2025-11-30 11:00:00,AVP1,11,5733.0,1981.0,2808.0,2025-11-30,2340.97,2540.33,2284.28,2495.31,37.86,34.35,37.65,38.55,88629.1,87273.0,86003.08,96196.0,-130.0,-130.0,699.0,512.0,0.0,0.0,0.0,0.0,6,1G,6,18,0,1,0,88629.1,2340.97,37.86,-130.0,699.0,0.0,0.0,0,0,0,8862.91,234.097,2025-11-30 11:00:00,-5001.0,5733.0,0,0,8286.832
2025-11-30 12:00:00,AVP1,12,7631.0,2809.0,3553.0,2025-11-30,2340.97,2540.33,2284.28,2495.31,37.86,34.35,37.65,38.55,88629.1,87273.0,86003.08,96196.0,-130.0,-130.0,699.0,512.0,0.0,0.0,0.0,0.0,6,1G,6,18,0,1,0,88629.1,2340.97,37.86,-130.0,699.0,0.0,0.0,0,0,0,8862.91,234.097,2025-11-30 12:00:00,1898.0,7631.0,0,0,9007.473
2025-11-30 13:00:00,AVP1,13,6620.0,2313.0,3174.0,2025-11-30,2340.97,2540.33,2284.28,2495.31,37.86,34.35,37.65,38.55,88629.1,87273.0,86003.08,96196.0,-130.0,-130.0,699.0,512.0,0.0,0.0,0.0,0.0,6,1G,6,18,0,1,0,88629.1,2340.97,37.86,-130.0,699.0,0.0,0.0,0,0,0,8862.91,234.097,2025-11-30 13:00:00,-1011.0,6620.0,0,0,8928.033
2025-11-30 14:00:00,AVP1,14,8096.0,2787.0,3839.0,2025-11-30,2340.97,2540.33,2284.28,2495.31,37.86,34.35,37.65,38.55,88629.1,87273.0,86003.08,96196.0,-130.0,-130.0,699.0,512.0,0.0,0.0,0.0,0.0,6,1G,6,18,0,1,0,88629.1,2340.97,37.86,-130.0,699.0,0.0,0.0,0,0,0,8862.91,234.097,2025-11-30 14:00:00,1476.0,8096.0,0,0,7260.335
2025-11-30 15:00:00,AVP1,15,7960.0,3055.0,3757.0,2025-11-30,2340.97,2540.33,2284.28,2495.31,37.86,34.35,37.65,38.55,88629.1,87273.0,86003.08,96196.0,-130.0,-130.0,699.0,512.0,0.0,0.0,0.0,0.0,6,1G,6,18,0,1,0,88629.1,2340.97,37.86,-130.0,699.0,0.0,0.0,0,0,0,8862.91,234.097,2025-11-30 15:00:00,-136.0,7960.0,0,0,7260.2207
